CLONE,YEAR,STAGE,LOC,CROP,REP,T_SPACRE,TRS_TON,TCA,POPN,MSTWT,FIBER,,,
L15-306,2021,5,DOMINGUE,2,2,5923.76,282.79,20.95,.,1.81,6.032586027,,,
L15-306,2021,5,BRUNSWICK,2,1,5295.22,271.35,19.51,.,1.76,6.041961853,,,
L01-299,2020,5,DOMINGUE,0,3,7086.48,284.27,24.93,.,2.34,6.061485909,,,
L11-183,2021,5,BRUNSWICK,3,2,3173.03,184.89,17.16,.,1.47,6.078385417,,,
HOCP96-540,2020,5,HARPER,2,1,5968.81,244.36,24.43,.,2.07,6.079082947,,,
L14-267,2020,5,STJOHN,0,3,9000.69,260.47,34.56,.,2.76,6.079446064,,,
HO12-615,2021,5,ALLAINS,1,2,5011.26,256.02,19.57,.,1.47,6.097846013,,,
L11-183,2020,5,STJOHN,1,2,11054.62,275.49,40.13,.,2.39,6.116211293,,,
L15-306,2021,5,ALMA,1,3,6385.65,275.57,23.17,.,1.65,6.116314528,,,
HOCP19-900,2020,3,STG,0,1,15667.59,285.39,54.9,.,3.27,6.125136811,,,
HO16-600,2020,5,RHEBERT,0,1,11653.68,314.73,37.03,.,3.97,6.152805281,,,
HO13-739,2021,5,ALMA,2,3,4644.55,280.91,16.53,.,1.26,6.154080675,,,
HOCP09-804,2021,4,CAF,1,1,8618.83,293.84,29.33,12.02,1.6,6.162884518,,,
L12-201,2020,5,RHEBERT,2,1,9157.84,248.3,36.88,.,2.96,6.172405251,,,
HOCP14-885,2020,5,BRUNSWICK,2,1,5755,159.15,36.16,.,1.92,6.172922472,,,
L14-267,2021,5,LANAUX,1,3,5594.01,317.51,17.62,.,1.58,6.173082249,,,
L12-201,2021,5,DOMINGUE,1,2,6355.21,292.99,21.69,.,2.43,6.19178559,,,
HOCP04-838,2020,5,MAGNOLIA,2,2,3502.79,266.4,13.15,.,1.33,6.192150706,,,
L12-201,2021,5,MARY,0,2,4951.89,220.9,22.42,.,1.99,6.210758621,,,
HO13-739,2020,5,MAGNOLIA,2,3,3882.49,249.64,15.55,.,1.3,6.210799585,,,
HOCP18-824,2020,3,AFL,1,1,22182.47,273.3,81.17,.,3.44,6.210844959,,,
HO13-739,2021,5,HARPER,2,2,4277.84,255.87,16.72,.,1.91,6.2109375,,,
L12-201,2020,5,MARY,0,1,12318.52,316.92,38.87,.,2.46,6.21151956,,,
L19-486,2021,3,SGL,1,1,8732.63,267.52,32.64,12.76,1.32,6.220766129,,,
L12-201,2020,5,DOMINGUE,1,2,8153.37,268.05,30.42,.,2.68,6.221003565,,,
L19-001,2020,3,AFL,0,2,5646.86,278.1,20.31,11.57,3.58,6.229544206,,,
HOCP96-540,2021,5,MAGNOLIA,1,2,3474.14,219.58,15.82,.,1.75,6.229920717,,,
HOCP14-885,2021,5,HARPER,3,2,6378.04,267.99,23.8,.,1.86,6.230338447,,,
L01-299,2021,5,BRUNSWICK,3,1,3590.68,222.75,16.12,.,1.3,6.230711234,,,
L12-201,2021,5,RHEBERT,0,3,10801.31,314.59,34.33,.,2.98,6.231123139,,,
HOCP09-804,2020,4,AFH,3,2,4333.49,227.88,19.02,14.59,1.74,6.250858124,,,
L19-023,2020,3,SGL,0,1,15351.5,272.31,56.38,13.18,3.77,6.269206615,,,
HO16-600,2020,5,LANAUX,0,3,14500.35,326.83,44.37,.,3.83,6.269282815,,,
HO12-615,2021,5,LANAUX,1,3,5779.01,326.28,17.71,.,1.41,6.269528325,,,
L15-306,2021,5,GLENWOOD,1,3,9982.97,292.55,34.12,.,1.74,6.286722258,,,
HOCP14-885,2021,5,LANAUX,1,1,7299.74,330.95,22.06,.,1.72,6.288867092,,,
L12-201,2020,5,ALLAINS,2,1,8033.99,290.17,27.69,.,2.56,6.289328293,,,
HO05-961,2021,5,ALMA,0,3,5322.96,278.49,19.11,.,1.85,6.289369479,,,
HOCP96-540,2020,5,DOMINGUE,0,2,6661,270.56,24.62,.,2.75,6.289482941,,,
HOCP19-903,2021,3,SGL,1,1,6035.86,308.67,19.55,.,1.69,6.308783415,,,
HO12-615,2020,5,MAGNOLIA,2,3,4459.91,257.29,17.34,.,1.08,6.308947886,,,
L11-183,2020,5,RHEBERT,2,3,9750.5,256.66,37.99,.,1.86,6.308975745,,,
L14-267,2021,5,MARY,0,1,5305.69,223.15,23.78,.,1.78,6.309709426,,,
HOCP96-540,2020,5,HARPER,3,2,3905.75,222.22,17.58,.,1.93,6.309878683,,,
L01-299,2020,3,STG,0,1,2302.42,285.39,8.07,.,2.54,6.316705336,,,
HO16-600,2020,5,ALMA,0,3,12161.91,275.34,44.17,.,3.14,6.31918239,,,
HOCP14-885,2020,5,RHEBERT,1,1,11106.68,289.12,38.42,.,3.36,6.328899972,,,
L12-201,2020,5,ALMA,1,3,8096.28,227.93,35.52,.,2.66,6.328987912,,,
L01-283,2020,5,RHEBERT,3,1,7121.36,269.41,26.43,.,1.64,6.329273084,,,
L01-299,2021,5,MAGNOLIA,1,3,3558.61,252.04,14.12,.,1.15,6.32980918,,,
L14-267,2020,5,LANDRY,1,1,7337.69,236.92,30.97,.,3.13,6.329814459,,,
L14-267,2020,5,DOMINGUE,0,3,7569.47,281.26,26.91,.,2.33,6.34891394,,,
L12-201,2021,5,ALMA,0,1,5354.99,244.23,21.93,.,2.26,6.349590835,,,
L15-306,2020,5,GLENWOOD,0,1,12074.68,301,40.12,.,2.85,6.369481549,,,
HO16-608,2020,5,LANAUX,0,1,12758.35,299.2,42.64,.,3.25,6.369507162,,,
L19-495,2020,3,AFL,0,1,10439.05,272.16,38.36,13.19,3.32,6.369666942,,,
HOCP04-838,2020,5,STJOHN,0,1,12165.84,274.71,44.29,.,3.05,6.369817943,,,
HOCP04-838,2021,5,DOMINGUE,2,1,5680.69,259.28,21.91,.,1.7,6.389191869,,,
HOCP96-540,2020,5,ALLAINS,0,1,9404.87,265.2,35.46,.,2.96,6.3896,,,
HOCP17-701,2021,5,BRUNSWICK,0,1,9723.27,325.86,29.84,.,2.64,6.389878428,,,
L11-183,2021,5,MARY,1,3,3974.4,226.72,17.53,.,1.77,6.390054892,,,
L19-023,2020,3,AFL,0,1,2177.78,208.27,10.46,11.98,4.19,6.391549296,,,
HOCP04-838,2021,5,HARPER,0,1,9448.18,290.63,32.51,.,2.55,6.40960523,,,
L14-267,2021,5,ALMA,2,2,6033.58,295.07,20.45,.,2.05,6.410157506,,,
HOCP96-540,2020,5,DOMINGUE,0,1,8108.63,260.64,31.11,.,3.12,6.410157506,,,
L12-201,2021,5,BRUNSWICK,1,3,7674.26,287.67,26.68,.,2,6.41047825,,,
L12-201,2020,5,MAGNOLIA,1,1,6672.49,272.37,24.5,.,3.32,6.410947003,,,
HOCP19-900,2021,3,WES,0,2,16244.83,260.51,62.36,10.05,3.18,6.413217733,,,
L01-299,2020,4,AFH,0,1,9233.45,260.35,35.47,13.08,2.53,6.430045872,,,
L01-299,2020,5,STJOHN,2,2,9286.46,291.87,31.82,.,1.61,6.430363251,,,
L12-201,2021,5,STJOHN,0,1,8942.22,295.17,30.3,.,3.25,6.430641822,,,
L11-183,2020,5,DOMINGUE,0,2,5521.89,272.89,20.24,.,1.8,6.430738409,,,
L01-299,2020,5,MARY,2,1,9916.6,278,35.67,.,1.69,6.430813776,,,
HO13-739,2021,5,HARPER,0,2,9512,290.56,32.74,.,2.35,6.430978763,,,
L12-201,2020,5,GLENWOOD,3,2,8542.16,274.88,31.08,.,3,6.451090343,,,
HOCP19-960,2020,3,AFL,0,1,16916.01,266.56,63.46,.,3.33,6.451421801,,,
L14-267,2021,5,HARPER,1,2,10597.8,291.78,36.32,.,2.98,6.452210749,,,
HOCP14-885,2020,5,RHEBERT,1,3,11341.84,281.8,40.25,.,3.32,6.47170315,,,
HO05-961,2021,5,ALLAINS,0,2,7568.14,312.3,24.23,.,1.89,6.471731449,,,
HO17-738,2021,5,ALMA,0,1,7037.84,258,27.28,.,2.12,6.472082495,,,
HOCP14-885,2021,5,GLENWOOD,1,3,9861.51,307.04,32.12,.,2.17,6.472222222,,,
HOCP09-804,2020,5,MAGNOLIA,2,3,2707.4,233.36,11.6,.,1.38,6.472243639,,,
HO17-738,2021,4,CAF,1,2,12682.47,285.8,44.38,12.24,1.73,6.472355466,,,
HOCP09-804,2020,5,DOMINGUE,1,3,8364.54,289.01,28.94,.,1.98,6.472425249,,,
L18-438,2020,4,BLK,0,1,11462.93,297.42,38.54,11.92,2.26,6.472565028,,,
L11-183,2020,5,ALMA,2,3,4662.79,205.91,22.64,.,1.79,6.472620266,,,
HO16-600,2020,4,AFH,1,1,10531.7,295.44,35.65,11.21,2.31,6.472624292,,,
L20-037,2021,3,AFL,0,1,12999.12,291.99,44.52,11.09,3.17,6.483752017,,,
HOCP04-838,2021,5,LANAUX,2,2,2997.89,285.11,10.52,.,1.05,6.492537313,,,
HOCP17-541,2021,3,AFL,0,2,18018.67,274.6,65.62,.,3.11,6.493152793,,,
L14-267,2020,5,STJOHN,0,2,9296.98,267.51,34.75,.,2.96,6.493222683,,,
HO11-573,2021,5,RHEBERT,3,1,4504.45,253.38,17.78,.,1.64,6.493257417,,,
L12-201,2020,5,BRUNSWICK,2,1,5467.41,207.02,26.41,.,2.06,6.493539397,,,
HOCP09-804,2021,5,HARPER,3,1,4677.78,248.27,18.84,.,1.39,6.493770963,,,
L12-201,2020,3,AFL,0,2,17258.07,272,63.45,.,3.54,6.49384058,,,
L11-183,2021,5,HARPER,3,3,1988.05,221.33,8.98,.,2.65,6.496432212,,,
HOCP09-804,2020,4,CAF,0,2,10297.79,262.71,39.2,13.98,1.77,6.504038772,,,
HOL15-508,2020,5,DOMINGUE,1,1,10551.62,300.32,35.13,.,3.3,6.514084507,,,
HOCP96-540,2020,5,STJOHN,0,1,10146.49,254.99,39.79,.,3.21,6.514586071,,,
L19-483,2020,3,SGL,0,2,9701.83,265.49,36.54,11.7,1.37,6.514589183,,,
L12-201,2020,5,MAGNOLIA,2,1,5564.09,260.4,21.37,.,1.79,6.514605515,,,
HOL15-508,2021,5,RHEBERT,0,2,9857.04,295.39,33.37,.,3.08,6.515653221,,,
L19-004,2020,3,AFL,0,1,6786.02,261.62,25.94,11.69,3.09,6.525068014,,,
L14-267,2021,5,BRUNSWICK,2,2,4999.77,224.37,22.28,.,1.52,6.535666518,,,
HOCP19-943,2020,3,STG,0,2,4517.46,273.81,16.5,.,2.02,6.536214486,,,
L20-059,2021,3,NIB,0,2,11061.24,254.9,43.39,13.95,3.09,6.536477695,,,
HOCP14-885,2021,5,ALMA,1,3,4579.14,257.79,17.76,.,1.59,6.536571094,,,
L18-441,2020,4,CAF,0,2,6461.5,271.9,23.77,11.88,2.04,6.536626438,,,
L14-267,2021,5,RHEBERT,0,3,8629.81,296.55,29.1,.,3.54,6.536808595,,,
HOCP96-540,2020,5,ALLAINS,2,3,9573.78,293.42,32.63,.,1.97,6.546245059,,,
HOCP96-540,2020,5,MARY,2,3,6622.19,256.11,25.86,.,2.11,6.556863794,,,
L01-299,2021,5,STJOHN,1,3,9280.44,294.44,31.52,.,1.56,6.556908589,,,
L12-201,2020,5,RHEBERT,2,2,11090.56,252.9,43.85,.,3.02,6.557010612,,,
HOCP14-885,2020,5,MARY,2,1,10253.49,271.49,37.77,.,2.08,6.557080925,,,
L19-004,2020,3,SGL,0,2,10005.27,274.34,36.47,10.94,3.22,6.557225434,,,
HOCP09-804,2021,5,DOMINGUE,1,3,8494.17,295.4,28.76,.,1.32,6.557278338,,,
HO17-738,2021,5,LANDRY,0,1,8151.38,292.61,27.86,.,2.16,6.557477111,,,
HO13-739,2021,5,STJOHN,0,3,8061.43,264.14,30.52,.,2.54,6.558164937,,,
HO11-573,2021,5,LANAUX,3,2,3749.97,282.82,13.26,.,1.72,6.577464789,,,
L14-267,2020,5,DOMINGUE,1,1,8156.62,271.29,30.07,.,2.94,6.578321004,,,
L19-001,2020,3,SGL,0,1,16077.63,317.76,50.6,10.43,3.06,6.578748759,,,
L01-299,2020,5,DOMINGUE,0,2,6987.14,281.66,24.81,.,1.91,6.578813989,,,
HO05-961,2021,5,LANDRY,1,3,5998.58,287.14,20.89,.,1.61,6.599694812,,,
HOCP18-803,2021,4,AFH,0,1,9149.26,257.74,35.5,11.2,2.08,6.6,,,
HO16-600,2020,5,ALMA,0,2,9375.23,246.44,38.04,.,4.05,6.600211342,,,
HO05-961,2020,5,BRUNSWICK,0,2,6771.13,305.88,22.14,.,2.5,6.600522193,,,
HO12-615,2020,5,ALLAINS,2,3,12516.39,296.79,42.17,.,1.6,6.60082769,,,
HOCP96-540,2021,5,STJOHN,1,2,8722.02,286.5,30.44,.,2.27,6.600886918,,,
L11-183,2020,5,ALLAINS,0,1,8965.48,284.88,31.47,.,2.39,6.601053159,,,
HO13-739,2021,5,LANDRY,2,1,3940.18,290.45,13.57,.,1.3,6.622024754,,,
HO11-573,2021,5,LANAUX,3,3,4338,277.77,15.62,.,1.53,6.622077922,,,
L20-028,2021,3,NIB,0,2,8412.68,243.15,34.6,13.39,3.05,6.622300058,,,
HOL15-508,2021,5,LANAUX,2,3,4926.9,307.92,16,.,1.88,6.622421176,,,
L01-283,2020,5,LANAUX,3,2,8224.3,310.6,26.48,.,1.8,6.622467357,,,
HO05-961,2021,5,DOMINGUE,1,1,7716.93,286.38,26.95,.,2.45,6.622704005,,,
L11-183,2020,5,BRUNSWICK,0,1,9520.68,294.04,32.38,.,2.59,6.622781457,,,
HOCP09-804,2020,4,AFH,0,1,8605.93,263.33,32.68,13.86,2.25,6.623033067,,,
L11-183,2021,5,LANAUX,1,3,4604.63,303.16,15.19,.,2.02,6.643300799,,,
L19-001,2020,3,AFL,0,1,8254.74,247.95,33.29,9.86,3.34,6.643926789,,,
HO17-738,2021,5,HARPER,0,2,9474.35,295.04,32.11,.,2.65,6.64463943,,,
HOCP96-540,2020,3,NEW,0,2,8547.49,289.52,29.52,11.03,2.06,6.644645341,,,
HO12-615,2020,5,HARPER,2,2,7635.6,193.94,39.37,.,1.76,6.651124683,,,
HOCP19-956,2021,3,MEL,0,1,14552.68,281.51,51.7,11.74,3.03,6.655354008,,,
HOCP04-838,2020,5,BRUNSWICK,2,2,1853.38,156.83,11.82,.,1.14,6.665701416,,,
L14-267,2021,5,MARY,0,2,3609.26,221.68,16.28,.,1.87,6.666411337,,,
L11-183,2021,5,BRUNSWICK,1,3,6860.06,291.86,23.5,.,1.82,6.666494579,,,
L12-201,2020,5,MARY,0,2,10878.68,311.14,34.96,.,3.2,6.666564979,,,
L01-299,2020,5,LANDRY,0,1,10943.04,326.05,33.56,.,2.26,6.666666667,,,
L11-183,2021,5,HARPER,3,1,2284.22,215.73,10.59,.,2.81,6.666666667,,,
HOCP04-838,2021,5,RHEBERT,3,1,4890.42,270.01,18.11,.,1.32,6.666828676,,,
L11-183,2021,5,ALMA,2,2,4523.43,229.9,19.68,.,1.83,6.666873642,,,
HOCP14-885,2021,5,ALMA,2,1,7059.64,263.87,26.75,.,2.27,6.667138409,,,
HOL15-508,2021,5,LANAUX,0,1,7507.5,329.56,22.78,.,2.27,6.667220745,,,
HO12-615,2021,5,BRUNSWICK,2,1,3788.67,258.67,14.65,.,1.11,6.688212928,,,
HOCP19-903,2021,3,NEW,0,2,6280.78,304.96,20.6,9.84,2.23,6.688471269,,,
HOCP96-540,2020,5,RHEBERT,1,1,9392.95,257.97,36.41,.,2.8,6.688528807,,,
HOCP04-838,2021,5,BRUNSWICK,3,2,3968.08,250.08,15.87,.,0.91,6.688675624,,,
HOCP96-540,2020,5,RHEBERT,1,3,8474.52,266.28,31.83,.,2.64,6.688956715,,,
HOCP19-933,2020,3,STG,0,1,6095.76,296.2,20.58,.,1.93,6.689265537,,,
L12-201,2020,3,AFL,0,1,15724.89,257.74,61.01,.,3.24,6.689342806,,,
HO17-724,2020,4,AFH,0,1,10501.7,259.1,40.53,10.53,2.32,6.689450507,,,
L15-306,2021,5,ALMA,0,2,8220.36,271.62,30.26,.,2.14,6.689451277,,,
L11-183,2020,5,MAGNOLIA,2,2,3503.92,279.4,12.54,.,1.69,6.690013556,,,
L12-201,2021,3,AFL,0,1,13714.87,287.7,47.67,.,3.09,6.700325733,,,
HO11-573,2021,5,GLENWOOD,4,2,6518.3,251.84,25.88,.,2.7,6.710378682,,,
HOCP04-838,2020,5,MAGNOLIA,2,3,2647.04,214.96,12.31,.,1.39,6.710875332,,,
L15-306,2021,5,MAGNOLIA,1,2,4622.14,278.26,16.61,.,1.53,6.710973725,,,
L11-183,2020,5,LANAUX,2,3,8555.93,293.64,29.14,.,2.17,6.711322169,,,
HOL15-508,2020,5,RHEBERT,0,3,9026.94,258.89,34.87,.,2.86,6.711453744,,,
L14-267,2020,5,LANAUX,1,1,10992.3,302.65,36.32,.,2.98,6.711453744,,,
L17-410,2020,3,AFL,2,1,15892.01,287.88,55.2,10.94,3.08,6.711477251,,,
HO05-961,2021,5,DOMINGUE,1,2,6868.62,308.59,22.26,.,1.93,6.712205068,,,
L11-183,2020,5,MAGNOLIA,1,3,6299.94,279.12,22.57,.,2.03,6.729418886,,,
L15-306,2021,5,MAGNOLIA,1,1,2623.43,265.48,9.88,.,1.32,6.733393583,,,
L12-201,2020,5,HARPER,2,3,8236.04,256.98,32.05,.,2.43,6.73340143,,,
L12-201,2021,5,ALLAINS,3,2,7300.41,284.43,25.67,.,2.44,6.733739186,,,
L12-201,2020,5,HARPER,1,1,10164.76,275.07,36.95,.,3.21,6.733840304,,,
HOCP96-540,2020,5,LANDRY,0,2,9414.49,327.21,28.77,.,2.38,6.734466425,,,
L15-306,2020,5,LANDRY,1,1,8435.87,269.29,31.33,.,2.38,6.744746284,,,
L14-267,2020,5,STJOHN,2,1,8087.25,274.53,29.46,.,1.8,6.745818707,,,
HOCP17-529,2021,3,AFL,0,2,18308.26,275.61,66.43,.,3.05,6.754535587,,,
HOCP96-540,2021,5,ALLAINS,3,3,5055.01,274.28,18.43,.,1.44,6.756071806,,,
HOCP96-540,2021,5,ALMA,1,1,5832.59,248.12,23.51,.,1.83,6.756443977,,,
HOCP96-540,2020,4,CAF,1,1,12807.95,256.82,49.87,11.58,2.68,6.756491738,,,
HO13-739,2020,5,STJOHN,2,2,7280.26,287.33,25.34,.,1.78,6.757180157,,,
HOCP17-701,2021,5,ALMA,0,2,8637.14,282.5,30.57,.,2.23,6.757209761,,,
L12-201,2021,5,HARPER,2,1,7133.91,231.74,30.78,.,2.47,6.757321041,,,
HOCP17-701,2021,5,MARY,0,2,6570.23,282.54,23.26,.,1.94,6.757473209,,,
L15-306,2021,5,ALLAINS,1,2,5495.44,271.89,20.21,.,1.72,6.757697842,,,
HOCP14-885,2021,5,MAGNOLIA,1,1,2776.46,256.84,10.81,.,1.09,6.778918549,,,
L11-183,2020,5,LANDRY,1,1,5971.74,258.98,23.06,.,1.75,6.779006946,,,
HO13-739,2021,5,GLENWOOD,1,2,10702.12,301.01,35.55,.,1.78,6.779286927,,,
L19-006,2020,3,AFL,0,2,15680.55,286.06,54.82,13.27,3.27,6.779325661,,,
L01-283,2020,5,GLENWOOD,3,3,9278.72,281.9,32.92,.,1.48,6.779692026,,,
HOCP96-540,2020,5,LANDRY,0,3,10522.95,318.98,32.99,.,2.74,6.780095856,,,
HOCP19-921,2020,3,AFL,0,1,16776.65,254.85,65.83,.,3.72,6.780268199,,,
L01-299,2020,4,BLK,1,1,11575.27,254.29,45.52,12.4,1.99,6.794117647,,,
HO13-739,2020,5,LANAUX,0,1,7144.82,286.28,24.96,.,2.44,6.80179581,,,
L15-306,2021,5,HARPER,2,2,7625.69,271.09,28.13,.,2.12,6.801845681,,,
L20-028,2021,3,NIB,0,1,8990.46,247.46,36.33,13.78,3.14,6.802175191,,,
HOCP09-804,2021,5,ALMA,2,3,5940.23,275.66,21.55,.,0.93,6.802322163,,,
HOCP96-540,2020,3,AFL,0,2,13911.17,273.3,50.9,.,3.16,6.802364865,,,
HOCP14-885,2021,5,RHEBERT,0,1,12503.74,294.9,42.4,.,2.9,6.802466263,,,
L12-201,2020,5,ALLAINS,2,2,9369.87,289.84,32.33,.,2.41,6.802941922,,,
HOL15-508,2020,5,LANAUX,1,1,10251.7,322.53,31.79,.,2,6.802955665,,,
HOCP96-540,2021,5,BRUNSWICK,0,3,9670.95,289.69,33.38,.,2.63,6.803217158,,,
HO05-961,2021,5,DOMINGUE,1,3,5332.31,287.6,18.54,.,1.83,6.80322364,,,
HOCP19-929,2020,3,STG,0,1,16212.12,292.86,55.36,.,3.05,6.807951988,,,
HO12-615,2021,5,BRUNSWICK,1,2,7530.11,263.44,28.58,.,2.22,6.825072886,,,
HOCP96-540,2020,5,GLENWOOD,0,3,10848.55,287.57,37.73,.,2.93,6.825072886,,,
L15-306,2020,5,MAGNOLIA,0,3,11130.29,270.21,41.19,.,3.14,6.825182102,,,
L20-063,2021,3,AFL,0,1,11798.62,249.14,47.36,13.19,2.94,6.825423729,,,
L14-267,2021,5,HARPER,3,3,7309.29,230.76,31.68,.,2.11,6.825790312,,,
HO13-739,2021,5,ALMA,0,1,5096.45,272.42,18.71,.,1.92,6.826315789,,,
HO17-738,2020,4,AFH,0,2,12543.84,270.89,46.31,12.41,2.7,6.826329416,,,
HO13-739,2021,5,MAGNOLIA,1,3,4578.38,282.78,16.19,.,1.55,6.84847491,,,
HOCP18-829,2021,4,AFH,0,2,8157.07,274.69,29.7,11.42,2.16,6.848530144,,,
